# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit K
date,LST-AMSR2-DESC_V1.0_1000
2015-03-31,274.1248
2015-04-01,278.4168
2015-04-02,273.7855
2015-04-03,270.7786
2015-04-04,271.4976
2015-04-05,273.0947
2015-04-06,272.9607
2015-04-07,273.3490
2015-04-08,273.9197
2015-04-09,272.9080
2015-04-10,273.1232
2015-04-11,274.9174
2015-04-12,280.0077
2015-04-13,273.9221
2015-04-14,274.3565
2015-04-15,280.9751
2015-04-16,279.1272
2015-04-17,274.9325
2015-04-18,276.1312
2015-04-19,275.6675
2015-04-20,272.8682
2015-04-21,273.8361
2015-04-22,271.4289
2015-04-23,271.7102
2015-04-24,275.5446
2015-04-25,279.6021
2015-04-26,279.4200
2015-04-27,276.3457
2015-04-28,275.0518
2015-04-29,277.2986
2015-04-30,280.7960
2015-05-01,277.0306
2015-05-02,280.6688
2015-05-03,281.7233
2015-05-04,275.7140
2015-05-05,280.9243
2015-05-06,286.7900
2015-05-07,280.5994
2015-05-08,276.6998
2015-05-09,274.4925
2015-05-10,274.9673
2015-05-11,272.5698
2015-05-12,273.6433
2015-05-13,277.6114
2015-05-14,278.8158
2015-05-15,276.7520
2015-05-16,280.1153
2015-05-17,282.0722
2015-05-18,270.9584
2015-05-19,271.9878
2015-05-20,274.0148
2015-05-21,278.9921
2015-05-22,278.5414
2015-05-23,281.2017
2015-05-24,282.9895
2015-05-25,282.8186
2015-05-26,283.5956
2015-05-27,284.1787
2015-05-28,283.3679
2015-05-29,282.5374
2015-05-30,276.1161
2015-05-31,280.1367
2015-06-01,284.3802
2015-06-02,286.2131
2015-06-03,285.3109
2015-06-04,281.4316
2015-06-05,285.6459
2015-06-06,289.5534
2015-06-07,284.1576
2015-06-08,284.6405
2015-06-09,290.3416
2015-06-10,283.9436
2015-06-11,286.5725
2015-06-12,286.0982
2015-06-13,290.2085
2015-06-14,284.2831
2015-06-15,282.7922
2015-06-16,281.2709
2015-06-17,283.5021
2015-06-18,282.5820
2015-06-19,285.9020
2015-06-20,285.1534
2015-06-21,282.9248
2015-06-22,283.9894
2015-06-23,282.3225
2015-06-24,285.8866
