# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit m3/m3
date,SM-AMSR2-C1-DESC_V5.0_1000
2016-11-14,0.2354
2016-11-15,0.2416
2016-11-16,0.2304
2016-11-17,0.2345
2016-11-18,0.2438
2016-11-19,0.2287
2016-11-20,0.2329
2016-11-21,0.2402
2016-11-22,0.2695
2016-11-23,0.2630
2016-11-24,0.2779
2016-11-25,0.2572
2016-11-26,0.2413
2016-11-27,0.2468
2016-11-28,0.2849
2016-11-29,0.3022
2016-11-30,0.2982
2016-12-01,0.3158
2016-12-02,0.2919
2016-12-03,0.2862
2016-12-04,0.2901
2016-12-05,0.2774
2016-12-06,0.2719
2016-12-07,0.2702
2016-12-08,0.2723
2016-12-09,0.2668
2016-12-10,0.2534
2016-12-11,0.2475
2016-12-12,0.2440
2016-12-13,0.2569
2016-12-14,0.2619
2016-12-15,0.2633
2016-12-16,0.2511
2016-12-17,0.2543
2016-12-18,0.2500
2016-12-19,0.2586
2016-12-20,0.2601
2016-12-21,0.2717
2016-12-22,0.2631
2016-12-23,0.2624
2016-12-24,0.2595
2016-12-25,0.2502
2016-12-26,0.2722
2016-12-27,0.2563
2016-12-28,0.2486
2016-12-29,0.2548
2016-12-30,0.2507
2016-12-31,0.2480
2017-01-01,0.2506
2017-01-02,0.2459
2017-01-03,0.2400
2017-01-04,0.2462
2017-01-05,0.2469
2017-01-06,0.2487
2017-01-07,0.2382
2017-01-08,0.2322
2017-01-09,0.2465
2017-01-10,0.2392
2017-01-11,0.2510
2017-01-12,0.2514
2017-01-13,0.2406
2017-01-14,0.2591
2017-01-15,0.2467
2017-01-16,0.2535
2017-01-17,0.2510
2017-01-18,0.2507
2017-01-19,0.2619
2017-01-20,0.3140
2017-01-21,0.3010
2017-01-22,0.2768
2017-01-23,0.2722
2017-01-24,0.2664
2017-01-25,0.2579
2017-01-26,0.2657
2017-01-27,0.2415
2017-01-28,0.2621
2017-01-29,0.3141
2017-01-30,0.2689
2017-01-31,0.2704
2017-02-01,0.2469
2017-02-02,0.2525
2017-02-03,0.2457
2017-02-04,0.2590
2017-02-05,0.2316
2017-02-06,0.2540
2017-02-07,
2017-02-08,0.2520
2017-02-09,0.2480
2017-02-10,0.3086
2017-02-11,0.2675
2017-02-12,0.2616
2017-02-13,0.2617
2017-02-14,0.2618
2017-02-15,0.2647
2017-02-16,0.2697
2017-02-17,0.3027
2017-02-18,0.3018
2017-02-19,0.3021
2017-02-20,0.3333
2017-02-21,0.3176
2017-02-22,0.3356
2017-02-23,0.2602
2017-02-24,0.2503
2017-02-25,0.2348
2017-02-26,0.2194
2017-02-27,0.2151
2017-02-28,0.2319
2017-03-01,0.2213
2017-03-02,0.2132
2017-03-03,0.2242
2017-03-04,0.2364
2017-03-05,0.2812
2017-03-06,0.3397
2017-03-07,0.2685
2017-03-08,0.2503
2017-03-09,0.2396
2017-03-10,0.2417
2017-03-11,0.2165
2017-03-12,0.2320
2017-03-13,0.2337
2017-03-14,0.2380
2017-03-15,0.2349
2017-03-16,0.2905
2017-03-17,0.3537
2017-03-18,0.2647
2017-03-19,0.3218
2017-03-20,0.3636
2017-03-21,0.2991
2017-03-22,0.2737
2017-03-23,0.2952
2017-03-24,0.3387
2017-03-25,0.3212
2017-03-26,0.3566
2017-03-27,0.3656
2017-03-28,0.3849
2017-03-29,0.3865
2017-03-30,0.3953
2017-03-31,0.3832
2017-04-01,0.3914
